YEAR,NAME,Total-Veteran-table,Veteran,Veteran: In labor force,Veteran: In labor force: Employed,Veteran: In labor force: Unemployed,Veteran: Not in labor force,Nonveteran,Nonveteran: In labor force,Nonveteran: In labor force: Employed,Nonveteran: In labor force: Unemployed,Nonveteran: Not in labor force
2012,"San Mateo County, California",474909,15745,10941,9845,1096,4804,459164,378199,348675,29524,80965
2012,"Alameda County, California",1026541,32939,24437,21317,3120,8502,993602,768025,691885,76140,225577
2012,"Contra Costa County, California",675138,26452,21012,18841,2171,5440,648686,496580,451979,44601,152106
2012,"Santa Clara County, California",1189357,30386,23619,21946,1673,6767,1158971,900963,822993,77970,258008
2013,"Anne Arundel County, Maryland",343891,32134,27951,26903,1048,4183,311757,253855,236544,17311,57902
2013,"Howard County, Maryland",192394,9473,7924,7290,634,1549,182921,151986,144564,7422,30935
2013,"Prince George's County, Maryland",588928,40002,33437,29945,3492,6565,548926,446113,404617,41496,102813
2013,"Montgomery County, Maryland",638410,25739,21477,20496,981,4262,612671,515571,484168,31403,97100
2013,"District of Columbia, District of Columbia",457843,16083,12036,11342,694,4047,441760,342868,305845,37023,98892
2013,"Calvert County, Maryland",56251,5116,4684,4684,0,432,51135,41695,38107,3588,9440
2013,"Marin County, California",155936,3923,3280,3145,135,643,152013,119874,111848,8026,32139
2013,"San Francisco County, California",605051,11246,8377,7502,875,2869,593805,486196,451034,35162,107609
2013,"San Mateo County, California",477353,11142,8275,7501,774,2867,466211,383424,357587,25837,82787
2013,"Alameda County, California",1041775,27923,21950,20183,1767,5973,1013852,779657,710239,69418,234195
2013,"Contra Costa County, California",681604,22914,17656,15952,1704,5258,658690,511667,467873,43794,147023
2013,"Santa Clara County, California",1202642,29650,22053,20242,1811,7597,1172992,922225,847642,74583,250767
2014,"Anne Arundel County, Maryland",346658,31691,26491,25342,1149,5200,314967,256726,241806,14920,58241
2014,"Howard County, Maryland",194644,11053,10391,10221,170,662,183591,152586,145136,7450,31005
2014,"Prince George's County, Maryland",594898,36659,30892,28793,2099,5767,558239,452826,411163,41663,105413
2014,"Montgomery County, Maryland",644062,23189,20185,19538,647,3004,620873,520946,485488,35458,99927
2014,"District of Columbia, District of Columbia",466009,15091,11276,10020,1256,3815,450918,349306,318003,31303,101612
2014,"Calvert County, Maryland",56505,4852,4331,4272,59,521,51653,42874,37656,5218,8779
2014,"Marin County, California",156759,4052,3223,2968,255,829,152707,120964,116208,4756,31743
2014,"San Francisco County, California",614893,10470,7927,7198,729,2543,604423,493585,462737,30848,110838
2014,"San Mateo County, California",484369,9735,7904,7467,437,1831,474634,385719,367878,17841,88915
2014,"Alameda County, California",1063107,26792,20154,18770,1384,6638,1036315,795671,743532,52139,240644
2014,"Contra Costa County, California",692500,20508,14299,12768,1531,6209,671992,516767,476708,40059,155225
2014,"Santa Clara County, California",1224989,23489,18178,16560,1618,5311,1201500,946973,889089,57884,254527
